candidate,lr,weight_decay,dropout,label_smoothing,cv_mean_accuracy,cv_std_accuracy,cv_mean_loss
cira_baseline,0.001,1e-05,0.3,0.0,0.85,0.2,0.2513709510366122
cira_regularized,0.0008,0.0001,0.35,0.02,0.8,0.2449489742783178,0.2948675564179818
