epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec,lr
1,0.7022130952941047,0.4166666666666667,0.7126337687174479,0.4166666666666667,0.1266794204711914,0.001
2,0.6994133790334066,0.4166666666666667,0.710352619489034,0.5,0.06997346878051758,0.001
3,0.6862183544370863,0.4722222222222222,0.7154026826222738,0.5,0.07125544548034668,0.001
4,0.6765788661109077,0.5833333333333334,0.7212564547856649,0.3333333333333333,0.06390571594238281,0.001
5,0.6779221958584256,0.5,0.7241801023483276,0.5,0.06976628303527832,0.001
6,0.6611627472771539,0.6388888888888888,0.7312331000963846,0.5,0.07079315185546875,0.001
7,0.6903576519754198,0.5277777777777778,0.7406386137008667,0.4166666666666667,0.07098579406738281,0.001
8,0.6714476214514838,0.6388888888888888,0.7474369605382284,0.4166666666666667,0.07505631446838379,0.001
9,0.6851930088467069,0.4444444444444444,0.7596422235171,0.3333333333333333,0.06488585472106934,0.001
10,0.650608241558075,0.6388888888888888,0.7735784848531088,0.3333333333333333,0.0799417495727539,0.001
11,0.6401134928067526,0.6666666666666666,0.7954745491345724,0.3333333333333333,0.11142420768737793,0.001
12,0.6509338749779595,0.6111111111111112,0.8229813377062479,0.3333333333333333,0.09314870834350586,0.001
13,0.659781641430325,0.5833333333333334,0.8397443493207296,0.3333333333333333,0.0781855583190918,0.001
14,0.6001856327056885,0.6944444444444444,0.8641241788864136,0.3333333333333333,0.08527374267578125,0.001
15,0.6126472221480476,0.6666666666666666,0.8869073589642843,0.3333333333333333,0.0720820426940918,0.0007
16,0.6180101037025452,0.6111111111111112,0.9092063903808594,0.25,0.07772159576416016,0.0007
17,0.6000000635782877,0.7222222222222222,0.9249194065729777,0.25,0.07928633689880371,0.0007
18,0.5575950476858351,0.8333333333333334,0.946060061454773,0.25,0.08748817443847656,0.0007
19,0.6188007394472758,0.6388888888888888,0.9738936821619669,0.25,0.06230926513671875,0.0007
20,0.6162223087416755,0.5833333333333334,0.9889112710952759,0.25,0.07872414588928223,0.0007
21,0.5756593015458848,0.7222222222222222,1.0004241863886516,0.3333333333333333,0.0729522705078125,0.0007
22,0.6191145711474948,0.6944444444444444,1.017447829246521,0.4166666666666667,0.06695127487182617,0.0007
